,Memory Name,Latency (ns),Read Uncached (GB/s),Write (GB/s),Price(USD),lien,Database Operations,Memory Read Cached,Memory Read Uncached,Memory Write,Latency,Memory Threaded
70,Corsair CMG16GX4M2D3600C18 8GB,34,21.8,16.7,$119.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMG16GX4M2E3200C16+8GB&id=17493,"5,642 KOps/Sec","33,267 MBytes/Sec","20,909 MBytes/Sec","14,270 MBytes/Sec",42 ns (lower is better),"39,936 MBytes/Sec"
71,Corsair CMG16GX4M2E3200C16 8GB,34,20.4,14.8,$109.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMG32GX4M2D3600C18+16GB&id=17242,"6,651 KOps/Sec","34,796 MBytes/Sec","21,641 MBytes/Sec","14,940 MBytes/Sec",43 ns (lower is better),"42,869 MBytes/Sec"
72,Corsair CMG32GX4M2D3600C18 16GB,36,21.1,15.2,$204.98,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMG32GX4M2E3200C16+16GB&id=17292,"6,145 KOps/Sec","34,168 MBytes/Sec","20,580 MBytes/Sec","13,942 MBytes/Sec",42 ns (lower is better),"38,854 MBytes/Sec"
73,Corsair CMG32GX4M2E3200C16 16GB,32,19.1,14.2,$186.98,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMG64GX4M2D3600C18+32GB&id=17673,"6,329 KOps/Sec","35,376 MBytes/Sec","21,196 MBytes/Sec","14,758 MBytes/Sec",46 ns (lower is better),"39,030 MBytes/Sec"
74,Corsair CMG64GX4M2D3600C18 32GB,35,22.2,16.3,$729.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMG64GX4M2E3200C16+32GB&id=18720,"7,969 KOps/Sec","38,994 MBytes/Sec","23,474 MBytes/Sec","15,794 MBytes/Sec",45 ns (lower is better),"40,402 MBytes/Sec"
75,Corsair CMG64GX4M2E3200C16 32GB,44,21.6,14.3,$443.98*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMG8GX4M1E3200C16+8GB&id=17496,"5,020 KOps/Sec","31,454 MBytes/Sec","20,721 MBytes/Sec","13,139 MBytes/Sec",50 ns (lower is better),"39,086 MBytes/Sec"
76,Corsair CMH16GX4M2D3600C18 8GB,34,20.4,15.7,$118.98,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMH16GX4M2E3200C16+8GB&id=16046,"5,672 KOps/Sec","33,408 MBytes/Sec","20,918 MBytes/Sec","14,147 MBytes/Sec",41 ns (lower is better),"39,461 MBytes/Sec"
77,Corsair CMH16GX4M2E3200C16 8GB,31,19.5,14.5,$118.98,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMH16GX4M2Z3200C16+8GB&id=16267,"5,338 KOps/Sec","32,361 MBytes/Sec","20,550 MBytes/Sec","13,603 MBytes/Sec",41 ns (lower is better),"42,528 MBytes/Sec"
78,Corsair CMH16GX4M2Z3200C16 8GB,28,21.4,16.0,$179.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMH16GX4M2Z3600C18+8GB&id=15994,"6,131 KOps/Sec","33,483 MBytes/Sec","22,425 MBytes/Sec","15,700 MBytes/Sec",39 ns (lower is better),"45,564 MBytes/Sec"
79,Corsair CMH16GX4M2Z3600C18 8GB,28,21.8,17.3,$127.98,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMH32GX4M2C3200C18+16GB&id=17394,"5,860 KOps/Sec","35,044 MBytes/Sec","19,966 MBytes/Sec","13,937 MBytes/Sec",45 ns (lower is better),"37,608 MBytes/Sec"
